Unity.frameCount	Unity.realtimeSinceStartup	Unity.Head.position.x	Unity.Head.position.y	Unity.Head.position.z	Unity.Head.rotation.euler_x	Unity.Head.rotation.euler_y	Unity.Head.rotation.euler_z	Unity.gazeHit.position.x	Unity.gazeHit.position.y	Unity.gazeHit.position.z	PicoXR.gazeHit.position.x	PicoXR.gazeHit.position.y	PicoXR.gazeHit.position.z	gazeData.leftEyePoseStatus	gazeData.rightEyePoseStatus	gazeData.combinedEyePoseStatus	gazeData.leftEyeGazePoint.x	gazeData.leftEyeGazePoint.y	gazeData.leftEyeGazePoint.z	gazeData.rightEyeGazePoint.x	gazeData.rightEyeGazePoint.y	gazeData.rightEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.leftEyeOpenness	gazeData.rightEyeOpenness	gazeData.leftEyePupilDilation	gazeData.rightEyePupilDilation	gazeData.leftEyePositionGuide.x	gazeData.leftEyePositionGuide.y	gazeData.leftEyePositionGuide.z	gazeData.rightEyePositionGuide.x	gazeData.rightEyePositionGuide.y	gazeData.rightEyePositionGuide.z	gazeData.foveatedGazeDirection.x	gazeData.foveatedGazeDirection.y	gazeData.foveatedGazeDirection.z	gazeData.foveatedGazeTrackingState
25949	365.4664	0	0	0	0	0	0	-1.376235	-2.502788	8.5	-0.006412888	-0.1130364	0.05	21	21	3	-0.03106687	-0.001475791	-0.02833952	0.02712188	-0.001282811	-0.02533279	-0.01088605	-0.001408863	-0.02729673	-0.01088605	-0.001408863	-0.02729673	1	1	0	0	0.4994573	0.5764281	0.5	0.3834507	0.5586354	0.5	-0.007707104	-0.1358488	0.9906996	0
25950	365.4825	0	0	0	0	0	0	-1.380227	-2.501677	8.5	-0.006611535	-0.1128926	0.05	21	21	3	-0.03106405	-0.00147593	-0.02833723	0.02712291	-0.001281466	-0.0253355	-0.01069804	-0.001407866	-0.02728659	-0.01069804	-0.001407866	-0.02728659	1	1	0	0	0.4994812	0.5763834	0.5	0.3834453	0.5586213	0.5	-0.007946013	-0.135679	0.990721	0
25951	365.5031	0	0	0	0	0	0	-1.383052	-2.504303	8.5	-0.006512216	-0.1130291	0.05	21	21	3	-0.03106129	-0.00147593	-0.02832837	0.02712428	-0.001264927	-0.02539885	-0.01011558	-0.001399973	-0.0272738	-0.01011558	-0.001399973	-0.0272738	1	1	0	0	0.4996509	0.5764328	0.5	0.3832586	0.558186	0.5	-0.007826479	-0.1358401	0.9906998	0
25952	365.5207	0	0	0	0	0	0	-1.366066	-2.500815	8.5	-0.004829679	-0.1126257	0.05	21	21	3	-0.03106082	-0.001478349	-0.02832737	0.02712432	-0.001263616	-0.02541259	-0.01040556	-0.00140212	-0.02729265	-0.01040556	-0.00140212	-0.02729265	1	1	0	0	0.5000919	0.5764015	0.5	0.3832972	0.5581166	0.5	-0.005804844	-0.135366	0.9907787	0
25953	365.5419	0	0	0	0	0	0	-1.338222	-2.496723	8.5	-0.002511243	-0.1121675	0.05	21	21	3	-0.03105915	-0.001479342	-0.0283164	0.02712453	-0.001262915	-0.02541332	-0.0119728	-0.001408346	-0.02736408	-0.0119728	-0.001408346	-0.02736408	1	1	0	0	0.5003844	0.5762484	0.5	0.384082	0.5580483	0.5	-0.003018552	-0.134827	0.9908646	0
25954	365.5591	0	0	0	0	0	0	-1.340264	-2.501437	8.5	-0.002571301	-0.1124488	0.05	21	21	3	-0.03105892	-0.001478349	-0.0283164	0.02712453	-0.001260451	-0.02541529	-0.01230765	-0.001408125	-0.02738144	-0.01230765	-0.001408125	-0.02738144	1	1	0	0	0.5003844	0.5762484	0.5	0.3840783	0.5580383	0.5	-0.0030906	-0.135159	0.9908191	0
25955	365.5746	0	0	0	0	0	0	-1.339983	-2.502569	8.5	-0.002687334	-0.1125609	0.05	21	21	3	-0.03105784	-0.001478349	-0.0283164	0.02712432	-0.001260349	-0.02541762	-0.01346771	-0.001412441	-0.02744002	-0.01346771	-0.001412441	-0.02744002	1	1	0	0	0.5003844	0.5762484	0.5	0.3841448	0.5579924	0.5	-0.003230008	-0.1352911	0.9908006	0
25956	365.5897	0	0	0	0	0	0	-1.334656	-2.506084	8.5	-0.002482667	-0.1129026	0.05	21	21	3	-0.03105754	-0.001477009	-0.02830563	0.02712504	-0.001258377	-0.02543397	-0.01496956	-0.001416555	-0.02751159	-0.01496956	-0.001416555	-0.02751159	1	1	0	0	0.5004653	0.5763063	0.5	0.3841868	0.5576928	0.5	-0.002983846	-0.1356945	0.9907463	0
25957	365.6057	0	0	0	0	0	0	-1.338201	-2.50334	8.5	-0.002513397	-0.1127731	0.05	21	21	3	-0.03105754	-0.001478349	-0.02829982	0.02712545	-0.001257633	-0.02544384	-0.01471179	-0.001416342	-0.02749747	-0.01471179	-0.001416342	-0.02749747	1	1	0	0	0.5004554	0.5763355	0.5	0.3841698	0.5576435	0.5	-0.003020844	-0.1355416	0.9907671	0
25958	365.6219	0	0	0	0	0	0	-1.340097	-2.498998	8.5	-0.002573144	-0.1125183	0.05	21	21	3	-0.03105481	-0.001479342	-0.02829247	0.02713167	-0.001238466	-0.02551981	-0.01503972	-0.001413044	-0.02752933	-0.01503972	-0.001413044	-0.02752933	1	1	0	0	0.5006025	0.5763401	0.5	0.3841397	0.5569465	0.5	-0.00309278	-0.135241	0.990808	0
