Unity.frameCount	Unity.realtimeSinceStartup	Unity.Head.position.x	Unity.Head.position.y	Unity.Head.position.z	Unity.Head.rotation.euler_x	Unity.Head.rotation.euler_y	Unity.Head.rotation.euler_z	Unity.gazeHit.position.x	Unity.gazeHit.position.y	Unity.gazeHit.position.z	PicoXR.gazeHit.position.x	PicoXR.gazeHit.position.y	PicoXR.gazeHit.position.z	gazeData.leftEyePoseStatus	gazeData.rightEyePoseStatus	gazeData.combinedEyePoseStatus	gazeData.leftEyeGazePoint.x	gazeData.leftEyeGazePoint.y	gazeData.leftEyeGazePoint.z	gazeData.rightEyeGazePoint.x	gazeData.rightEyeGazePoint.y	gazeData.rightEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.leftEyeOpenness	gazeData.rightEyeOpenness	gazeData.leftEyePupilDilation	gazeData.rightEyePupilDilation	gazeData.leftEyePositionGuide.x	gazeData.leftEyePositionGuide.y	gazeData.leftEyePositionGuide.z	gazeData.rightEyePositionGuide.x	gazeData.rightEyePositionGuide.y	gazeData.rightEyePositionGuide.z	gazeData.foveatedGazeDirection.x	gazeData.foveatedGazeDirection.y	gazeData.foveatedGazeDirection.z	gazeData.foveatedGazeTrackingState
20639	295.5683	0	0	0	0	0	0	0.8678355	-3.32339	8.5	0.03006875	-0.1217851	0.05	21	21	3	-0.03159292	-0.0005603396	-0.02916827	0.03193792	0.0001711298	-0.02810107	-0.001108001	-0.000209348	-0.02865618	-0.001108001	-0.000209348	-0.02865618	1	1	0	0	0.4959415	0.553039	0.5	0.5338294	0.5280347	0.5	0.03606117	-0.1460557	0.9886189	0
20640	295.606	0	0	0	0	0	0	0.8625939	-3.32994	8.5	0.0298675	-0.1221535	0.05	21	21	3	-0.03159058	-0.0005631034	-0.02916399	0.03194029	0.000172165	-0.02809608	-0.001416533	-0.000213887	-0.02865679	-0.001416533	-0.000213887	-0.02865679	1	1	0	0	0.496004	0.5533357	0.5	0.5338377	0.5279552	0.5	0.03581781	-0.1464894	0.9885635	0
20641	295.6245	0	0	0	0	0	0	0.8673812	-3.33473	8.5	0.03025832	-0.1225357	0.05	21	21	3	-0.03158974	-0.0005631034	-0.02916399	0.03194197	0.0001719467	-0.0280915	-0.001832946	-0.0002188228	-0.02866166	-0.001832946	-0.0002188228	-0.02866166	1	1	0	0	0.4959536	0.5535053	0.5	0.5341468	0.5279739	0.5	0.03628344	-0.1469353	0.9884804	0
20642	295.6438	0	0	0	0	0	0	0.8690307	-3.334288	8.5	0.03045352	-0.122579	0.05	21	21	3	-0.03158958	-0.0005631034	-0.02916399	0.03194198	0.0001711298	-0.02808018	-0.001936646	-0.000220405	-0.02865813	-0.001936646	-0.000220405	-0.02865813	1	1	0	0	0.49593	0.553505	0.5	0.534278	0.5280311	0.5	0.03651692	-0.1469849	0.9884645	0
20643	295.6618	0	0	0	0	0	0	0.8682661	-3.325368	8.5	0.03040856	-0.1220111	0.05	21	21	3	-0.03158958	-0.0005631034	-0.02916827	0.03194198	0.0001719467	-0.0280915	-0.002010896	-0.0002208828	-0.02866695	-0.002010896	-0.0002208828	-0.02866695	1	1	0	0	0.4957466	0.5533655	0.5	0.5344487	0.5279691	0.5	0.03646673	-0.1463189	0.9885651	0
20644	295.6799	0	0	0	0	0	0	0.8656948	-3.324673	8.5	0.03045754	-0.1222423	0.05	21	21	3	-0.03158946	-0.000562585	-0.02916827	0.03194198	0.0001734981	-0.0280915	-0.001305977	-0.0002117169	-0.028655	-0.001305977	-0.0002117169	-0.028655	1	1	0	0	0.4957368	0.5533652	0.5	0.5344483	0.5279363	0.5	0.0365239	-0.1465898	0.9885229	0
20645	295.7007	0	0	0	0	0	0	0.8582824	-3.330639	8.5	0.03014651	-0.1229844	0.05	21	21	3	-0.03158946	-0.0005510753	-0.02920253	0.03194067	0.000174829	-0.0280915	-0.0005723124	-0.000196669	-0.02866009	-0.0005723124	-0.000196669	-0.02866009	1	1	0	0	0.4957323	0.5531802	0.5	0.5342556	0.5279721	0.5	0.03614668	-0.1474624	0.9884069	0
20646	295.7241	0	0	0	0	0	0	0.8577395	-3.327098	8.5	0.03027258	-0.1230467	0.05	21	21	3	-0.03158946	-0.0005506342	-0.029204	0.03193967	0.0001758412	-0.02809608	-0.000200614	-0.000191693	-0.02865659	-0.000200614	-0.000191693	-0.02865659	1	1	0	0	0.4957227	0.5531709	0.5	0.5342464	0.5279484	0.5	0.03629724	-0.1475347	0.9883906	0
20647	295.7451	0	0	0	0	0	0	0.355112	-2.118969	8.5	-0.02108062	-0.01881661	0.05	21	21	3	-0.03182907	-5.842788E-05	-0.02905894	0.03163759	0.0004646659	-0.02674071	-0.001993478	0.0001874778	-0.02796915	-0.001993478	0.0001874778	-0.02796915	1	1	0	0	0.4783688	0.5191709	0.5	0.5153893	0.4975456	0.5	-0.02555783	-0.02281297	0.999413	0
20648	295.769	0	0	0	0	0	0	0.4278412	-1.39915	8.5	-0.01941458	0.04782134	0.05	21	21	3	-0.03196898	-0.0001537873	-0.02727133	0.03155185	0.0006835064	-0.0263453	-0.009588996	0.0001412123	-0.02694507	-0.009588996	0.0001412123	-0.02694507	1	1	0	0	0.4758198	0.5086121	0.5	0.512156	0.4796617	0.5	-0.02350575	0.05789856	0.9980457	0
