Unity.frameCount	Unity.realtimeSinceStartup	Unity.Head.position.x	Unity.Head.position.y	Unity.Head.position.z	Unity.Head.rotation.euler_x	Unity.Head.rotation.euler_y	Unity.Head.rotation.euler_z	Unity.gazeHit.position.x	Unity.gazeHit.position.y	Unity.gazeHit.position.z	PicoXR.gazeHit.position.x	PicoXR.gazeHit.position.y	PicoXR.gazeHit.position.z	gazeData.leftEyePoseStatus	gazeData.rightEyePoseStatus	gazeData.combinedEyePoseStatus	gazeData.leftEyeGazePoint.x	gazeData.leftEyeGazePoint.y	gazeData.leftEyeGazePoint.z	gazeData.rightEyeGazePoint.x	gazeData.rightEyeGazePoint.y	gazeData.rightEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.leftEyeOpenness	gazeData.rightEyeOpenness	gazeData.leftEyePupilDilation	gazeData.rightEyePupilDilation	gazeData.leftEyePositionGuide.x	gazeData.leftEyePositionGuide.y	gazeData.leftEyePositionGuide.z	gazeData.rightEyePositionGuide.x	gazeData.rightEyePositionGuide.y	gazeData.rightEyePositionGuide.z	gazeData.foveatedGazeDirection.x	gazeData.foveatedGazeDirection.y	gazeData.foveatedGazeDirection.z	gazeData.foveatedGazeTrackingState
3051	46.19826	0	0	0	0	0	0	0.2922914	-1.084529	8.5	0.005960002	0.07163729	0.05	21	21	3	-0.03437942	-0.004149511	-0.01894077	0.02989252	-0.001097527	-0.01937821	0.001952261	-0.002424283	-0.01918804	0.001952261	-0.002424283	-0.01918804	1	1	0	0	0.4149778	0.6036535	0.5	0.4664715	0.5188224	0.5	0.007202727	0.08657444	0.9962194	0
3052	46.23426	0	0	0	0	0	0	0.2747687	-1.077172	8.5	0.005014229	0.07386032	0.05	21	21	3	-0.0344004	-0.004154965	-0.01892497	0.02989793	-0.001095695	-0.01938791	0.005498931	-0.002256582	-0.01921224	0.005498931	-0.002256582	-0.01921224	1	1	0	0	0.4146186	0.6034111	0.5	0.4665675	0.5188207	0.5	0.006058365	0.08924061	0.9959917	0
3053	46.24501	0	0	0	0	0	0	0.2820413	-1.084007	8.5	0.005182855	0.07341203	0.05	21	21	3	-0.03440378	-0.004155843	-0.01891608	0.02989859	-0.00109375	-0.01939749	0.003825694	-0.002335347	-0.01920229	0.003825694	-0.002335347	-0.01920229	1	1	0	0	0.4144469	0.6032434	0.5	0.4665675	0.518825	0.5	0.006262399	0.08870312	0.9960384	0
3054	46.25373	0	0	0	0	0	0	0.2819388	-1.084565	8.5	0.005182855	0.07341203	0.05	21	21	3	-0.03440378	-0.004155843	-0.01891608	0.02989859	-0.00109375	-0.01939749	0.003825694	-0.002335347	-0.01920229	0.003825694	-0.002335347	-0.01920229	1	1	0	0	0.4144469	0.6032434	0.5	0.4665675	0.518825	0.5	0.006262399	0.08870312	0.9960384	0
3055	46.26575	0	0	0	0	0	0	0.3123109	-1.11135	8.5	0.006639214	0.07088207	0.05	21	21	3	-0.0344085	-0.004158102	-0.01891608	0.02990089	-0.001089344	-0.01941132	-0.001047144	-0.002566143	-0.01917299	-0.001047144	-0.002566143	-0.01917299	1	1	0	0	0.4140657	0.6033779	0.5	0.4668239	0.5188348	0.5	0.008024142	0.08566795	0.9962914	0
3056	46.28093	0	0	0	0	0	0	0.3349127	-1.126029	8.5	0.007899945	0.06951398	0.05	21	21	3	-0.0344085	-0.004157737	-0.01892385	0.02990138	-0.001087653	-0.01941163	-0.004375336	-0.002723987	-0.01915164	-0.004375336	-0.002723987	-0.01915164	1	1	0	0	0.4139142	0.603376	0.5	0.4670666	0.5188307	0.5	0.009549071	0.08402514	0.9964179	0
3057	46.29413	0	0	0	0	0	0	0.3268394	-1.122873	8.5	0.007524998	0.0698939	0.05	21	21	3	-0.03440931	-0.004158102	-0.01891671	0.0299022	-0.001087095	-0.01941642	-0.003440411	-0.002679273	-0.01915734	-0.003440411	-0.002679273	-0.01915734	1	1	0	0	0.4138612	0.6033753	0.5	0.4670902	0.518816	0.5	0.009095541	0.08448145	0.9963835	0
3058	46.30811	0	0	0	0	0	0	0.3400495	-1.122145	8.5	0.009090899	0.07002379	0.05	21	21	3	-0.03440931	-0.004159587	-0.01891671	0.0299022	-0.001081282	-0.01942044	-0.002981058	-0.002655257	-0.01916288	-0.002981058	-0.002655257	-0.01916288	1	1	0	0	0.4138625	0.6032364	0.5	0.4675509	0.5188224	0.5	0.01098791	0.08463572	0.9963514	0
3059	46.3232	0	0	0	0	0	0	0.3319588	-1.121437	8.5	0.008916467	0.07019187	0.05	21	21	3	-0.03440931	-0.004159587	-0.01891671	0.0299022	-0.001078051	-0.01942471	-0.001640527	-0.002589445	-0.01917555	-0.001640527	-0.002589445	-0.01917555	1	1	0	0	0.4138625	0.6032364	0.5	0.4675663	0.5188223	0.5	0.01077691	0.08483762	0.9963365	0
3060	46.33596	0	0	0	0	0	0	0.3217129	-1.123526	8.5	0.008622283	0.0700564	0.05	21	21	3	-0.03440931	-0.004159595	-0.01891671	0.0299022	-0.001076932	-0.01942515	4.48227E-05	-0.002508094	-0.0191891	4.48227E-05	-0.002508094	-0.0191891	1	1	0	0	0.413861	0.6033756	0.5	0.4675673	0.5188859	0.5	0.01042153	0.08467537	0.9963541	0
